,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
0,1,Bitcoin,BTC,bitcoin,10863,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19647581.0,19647581.0,False,,1,,,,2024-03-07T19:04:00.000Z,67853.75629655176,48026774432.78469,-45.7804,0.2831791,1.40015151,11.89975873,57.18700182,53.84331827,54.86951606,1333162172990.7607,52.0774,1424928882227.59,,2024-03-07T19:04:00.000Z,,,,,,2024-03-07 19:05:51.393125
1,1027,Ethereum,ETH,ethereum,8511,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1', 'ftx-bankruptcy-estate']",,120114025.48534974,120114025.48534974,True,,2,,,,2024-03-07T19:04:00.000Z,3884.927682188343,22248856474.11179,-50.9295,0.5626718,0.972397,15.52450863,64.48598141,72.99232556,65.54188454,466634302627.1114,18.2282,466634302627.11,,2024-03-07T19:04:00.000Z,,,,,,2024-03-07 19:05:51.393125
2,825,Tether USDt,USDT,tether,77440,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,100729057191.32367,103797122782.5545,True,,3,,,,2024-03-07T19:03:00.000Z,1.0013921530072516,96034882759.75351,-41.5684,0.01763083,-0.00868079,0.16403722,0.18508732,0.08918216,0.11625592,100869287451.21019,3.9403,103941624259.18,,2024-03-07T19:03:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2024-03-07 19:05:51.393125
3,1839,BNB,BNB,bnb,2086,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,149540810.1047821,149540810.1047821,False,,4,,,,2024-03-07T19:03:00.000Z,463.61571089749293,2906259844.502715,-22.6217,1.27070441,9.11977548,14.79517498,53.00108023,51.53664763,95.54897582,69329468984.91554,2.708,69329468984.92,,2024-03-07T19:03:00.000Z,,,,,,2024-03-07 19:05:51.393125
4,5426,Solana,SOL,solana,635,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okex-blockdream-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities', 'cmc-crypto-awards-2024']",,443011942.177478,571203744.9952416,True,,5,,,,2024-03-07T19:04:00.000Z,149.22472878322853,6953554844.597747,-4.3211,2.1054127,14.8058205,16.93828002,54.89936681,57.77983833,104.79833139,66108336919.165474,2.5824,85237723926.88,,2024-03-07T19:04:00.000Z,,,,,,2024-03-07 19:05:51.393125
5,52,XRP,XRP,xrp,1243,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate']",100000000000.0,54664031281.0,99987852435.0,False,,6,,,,2024-03-07T19:04:00.000Z,0.6304460016543445,2452337091.098244,-33.9231,0.80481178,3.54115547,4.57469369,24.32191646,11.02416568,-5.08263938,34462719955.41447,1.3462,63044600165.43,,2024-03-07T19:04:00.000Z,,,,,,2024-03-07 19:05:51.393125
6,3408,USDC,USDC,usd-coin,17083,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'hedera-hashgraph-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,29230722832.798378,29230722832.798378,False,,7,,,,2024-03-07T19:04:00.000Z,1.0000700030653469,9984527738.255268,-37.9823,0.00831101,-0.00274421,0.00693113,-0.01056418,0.00012305,0.00437248,29232769072.998978,1.1406,29232769073.0,,2024-03-07T19:04:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2024-03-07 19:05:51.393125
7,2010,Cardano,ADA,cardano,1090,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000.0,35489222707.303,36685854736.851,False,,8,,,,2024-03-07T19:03:00.000Z,0.7538086365295166,970860484.3029245,-47.7241,0.95586252,4.06780923,12.95331967,51.36649932,45.42182259,40.56746133,26752082580.484436,1.045,33921388643.83,,2024-03-07T19:03:00.000Z,,,,,,2024-03-07 19:05:51.393125
8,74,Dogecoin,DOGE,dogecoin,914,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain', 'ftx-bankruptcy-estate']",,143371606383.70523,143371606383.70523,True,,9,,,,2024-03-07T19:04:00.000Z,0.1583739790527886,2983622532.218169,-52.4746,1.77499642,1.04023825,26.97202174,100.55628832,97.67132437,60.44156134,22706331786.177586,0.887,22706331786.18,,2024-03-07T19:04:00.000Z,,,,,,2024-03-07 19:05:51.393125
9,5994,Shiba Inu,SHIB,shiba-inu,757,2020-08-01T00:00:00.000Z,"['memes', 'ethereum-ecosystem', 'doggone-doggerel']",,589289410812691.0,589534086491242.2,False,,10,,,,2024-03-07T19:03:00.000Z,3.16156244009991e-05,3793508274.1449003,-56.9015,-0.91766536,-6.04716293,136.45066004,255.82284598,237.67923934,213.56675894,18630752675.740097,0.7278,18638488250.09,,2024-03-07T19:03:00.000Z,1027.0,Ethereum,ETH,ethereum,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,2024-03-07 19:05:51.393125
